iter	Passed	Remaining
0	1	122
1	2	123
2	4	132
3	4	115
4	5	110
5	7	116
6	8	119
7	10	115
8	11	112
9	12	112
10	14	115
11	15	112
12	16	110
13	17	107
14	18	105
15	19	103
16	20	101
17	21	99
18	22	97
19	24	96
20	25	94
21	26	92
22	27	91
23	28	90
24	29	87
25	30	86
26	31	85
27	32	84
28	33	82
29	34	80
30	36	80
31	36	78
32	38	77
33	39	77
34	40	75
35	42	75
36	43	73
37	44	72
38	45	70
39	46	69
40	47	67
41	47	65
42	48	64
43	49	63
44	50	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	54
52	60	53
53	61	52
54	61	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	69	44
61	70	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	35
69	79	33
70	80	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	95	18
84	96	17
85	97	15
86	98	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	106	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	114	1
99	115	0
