iter	Passed	Remaining
0	150	150033
1	151	75543
2	153	50864
3	154	38354
4	154	30833
5	155	25805
6	156	22220
7	157	19534
8	158	17446
9	159	15769
10	160	14420
11	161	13283
12	162	12314
13	163	11487
14	164	10777
15	165	10172
16	167	9657
17	168	9169
18	169	8729
19	169	8325
20	170	7958
21	171	7623
22	172	7321
23	173	7037
24	173	6779
25	174	6541
26	175	6320
27	176	6127
28	178	5963
29	179	5815
30	180	5654
31	181	5498
32	182	5349
33	183	5209
34	184	5092
35	185	4968
36	186	4850
37	187	4738
38	187	4631
39	188	4529
40	189	4433
41	190	4341
42	191	4259
43	192	4185
44	193	4113
45	194	4039
46	195	3965
47	196	3894
48	197	3828
49	198	3764
50	199	3703
51	199	3641
52	200	3582
53	201	3526
54	202	3472
55	202	3420
56	203	3370
57	204	3323
58	206	3293
59	207	3250
60	208	3209
61	209	3167
62	210	3127
63	211	3086
64	212	3049
65	212	3012
66	213	2976
67	214	2944
68	216	2915
69	217	2883
70	217	2850
71	218	2817
72	219	2788
73	221	2766
74	222	2741
75	223	2712
76	223	2684
77	224	2656
78	225	2628
79	226	2601
80	227	2575
81	227	2550
82	228	2522
83	229	2497
84	229	2473
85	230	2450
86	231	2434
87	232	2413
88	236	2425
89	237	2405
90	238	2385
91	239	2367
92	240	2347
93	241	2326
94	242	2307
95	243	2288
96	243	2269
97	244	2252
98	245	2235
99	246	2217
100	247	2199
101	247	2182
102	249	2174
103	250	2161
104	251	2146
105	252	2130
106	253	2114
107	254	2099
108	254	2083
109	256	2072
110	257	2060
111	258	2046
112	259	2033
113	259	2018
114	260	2005
115	261	1992
116	262	1978
117	263	1971
118	264	1959
119	265	1949
120	266	1937
121	267	1923
122	268	1911
123	268	1899
124	269	1887
125	270	1875
126	271	1863
127	271	1851
128	272	1841
129	273	1831
130	274	1820
131	275	1810
132	276	1799
133	277	1791
134	278	1783
135	279	1775
136	280	1766
137	281	1756
138	281	1746
139	282	1736
140	283	1727
141	284	1716
142	284	1707
143	285	1698
144	286	1689
145	287	1680
146	288	1672
147	289	1663
148	289	1655
149	290	1648
150	292	1645
151	293	1638
152	294	1630
153	295	1623
154	296	1615
155	297	1608
156	298	1600
157	299	1594
158	300	1589
159	301	1581
160	301	1572
161	302	1565
162	303	1558
163	304	1550
164	304	1543
165	306	1539
166	307	1532
167	308	1527
168	309	1520
169	309	1513
170	310	1506
171	311	1499
172	312	1492
173	313	1486
174	313	1480
175	314	1473
176	315	1467
177	316	1460
178	317	1454
179	317	1448
180	318	1443
181	320	1439
182	322	1438
183	323	1436
184	324	1430
185	325	1425
186	326	1419
187	327	1413
188	328	1407
189	328	1401
190	329	1395
191	330	1390
192	331	1384
193	331	1379
194	332	1373
195	333	1369
196	334	1365
197	336	1361
198	336	1356
199	337	1351
200	338	1345
201	339	1341
202	341	1339
203	341	1334
204	342	1330
205	343	1325
206	344	1320
207	345	1315
208	346	1310
209	347	1305
210	348	1302
211	349	1299
212	351	1298
213	352	1293
214	353	1289
215	353	1284
216	354	1279
217	355	1274
218	356	1270
219	356	1265
220	357	1260
221	358	1256
222	359	1253
223	360	1250
224	361	1246
225	362	1243
226	363	1239
227	365	1235
228	365	1231
229	366	1227
230	367	1223
231	368	1219
232	369	1215
233	370	1211
234	370	1207
235	371	1203
236	372	1198
237	373	1194
238	373	1190
239	375	1187
240	376	1184
241	377	1182
242	378	1180
243	379	1177
244	380	1172
245	381	1169
246	382	1165
247	383	1161
248	384	1159
249	385	1157
250	386	1153
251	387	1149
252	388	1146
253	389	1142
254	389	1138
255	390	1135
256	392	1133
257	393	1131
258	394	1127
259	394	1124
260	395	1120
261	396	1116
262	397	1112
263	397	1109
264	398	1106
265	399	1103
266	400	1100
267	401	1096
268	402	1092
269	402	1089
270	403	1085
271	404	1082
272	405	1079
273	407	1079
274	408	1077
275	409	1074
276	410	1071
277	411	1069
278	412	1066
279	413	1063
280	414	1060
281	415	1057
282	416	1054
283	417	1051
284	417	1048
285	418	1045
286	420	1043
287	421	1041
288	422	1039
289	423	1037
290	424	1035
291	425	1032
292	426	1029
293	427	1026
294	428	1023
295	428	1020
296	429	1017
297	430	1014
298	431	1011
299	432	1009
300	433	1007
301	435	1006
302	436	1004
303	437	1001
304	438	998
305	439	995
306	439	992
307	440	990
308	441	987
309	442	984
310	443	981
311	443	978
312	444	976
313	445	973
314	446	971
315	447	969
316	449	968
317	450	967
318	451	964
319	452	961
320	453	959
321	454	956
322	455	953
323	455	951
324	456	948
325	457	946
326	458	944
327	459	941
328	460	939
329	461	937
330	466	942
331	467	939
332	467	937
333	468	934
334	470	933
335	471	931
336	472	929
337	473	926
338	473	924
339	474	921
340	475	919
341	476	917
342	477	914
343	478	912
344	480	911
345	481	910
346	482	908
347	483	906
348	484	904
349	485	901
350	486	899
351	487	896
352	487	894
353	488	891
354	489	889
355	490	887
356	492	886
357	493	885
358	494	883
359	495	880
360	496	878
361	497	876
362	497	873
363	498	871
364	499	868
365	500	866
366	500	864
367	501	861
368	502	859
369	503	857
370	504	854
371	505	853
372	506	851
373	507	849
374	508	847
375	509	846
376	510	844
377	511	842
378	512	839
379	513	837
380	514	835
381	514	832
382	515	830
383	516	828
384	517	826
385	518	824
386	519	822
387	520	820
388	521	818
389	522	817
390	524	816
391	525	814
392	525	812
393	526	810
394	527	808
395	528	805
396	529	803
397	530	801
398	530	799
399	531	797
400	532	795
401	533	794
402	534	792
403	536	791
404	537	789
405	539	788
406	539	786
407	540	784
408	541	782
409	542	780
410	542	778
411	543	775
412	544	773
413	545	771
414	546	770
415	547	768
416	549	767
417	550	766
418	551	764
419	552	763
420	554	762
421	555	760
422	556	758
423	557	757
424	558	755
425	558	753
426	559	751
427	560	749
428	561	747
429	562	746
430	564	744
431	565	742
432	566	741
433	566	739
434	567	737
435	568	735
436	569	733
437	569	731
438	570	729
439	571	727
440	572	725
441	573	723
442	574	721
443	574	719
444	575	718
445	577	717
446	578	715
447	579	714
448	580	712
449	581	710
450	581	708
451	582	706
452	583	704
453	584	702
454	584	700
455	586	699
456	586	697
457	587	695
458	589	694
459	589	692
460	591	691
461	592	689
462	593	688
463	594	687
464	595	685
465	597	684
466	598	682
467	599	681
468	599	679
469	600	677
